timestamp,user_id,device_id,event_type,source_ip,destination_ip,process_name,resource_id,risk_score,outcome
2026-07-20T10:50:00+00:00,user-11,pc-11,process_start,10.0.0.30,,explorer.exe,,0.186,normal
2026-07-20T10:55:00+00:00,user-12,pc-12,data_access,10.0.0.31,10.0.1.13,,erp,0.193,normal
2026-07-20T11:00:00+00:00,user-01,pc-01,failed_login,10.0.0.20,,,,0.389,normal
2026-07-20T11:05:00+00:00,user-02,pc-02,process_start,10.0.0.21,,chrome.exe,,0.123,normal
2026-07-20T11:10:00+00:00,user-03,pc-03,failed_login,10.0.0.22,,,,0.42,normal
2026-07-20T11:15:00+00:00,user-04,pc-04,process_start,10.0.0.23,,chrome.exe,,0.153,normal
2026-07-20T11:20:00+00:00,user-05,pc-05,login,10.0.0.24,,,,0.064,normal
2026-07-20T11:25:00+00:00,user-06,pc-06,process_start,10.0.0.25,,explorer.exe,,0.123,normal
2026-07-20T11:30:00+00:00,user-07,pc-07,login,10.0.0.26,,,,0.104,normal
2026-07-20T11:35:00+00:00,user-08,pc-08,login,10.0.0.27,,,,0.069,normal
2026-07-20T11:40:00+00:00,user-09,pc-09,login,10.0.0.28,,,,0.045,normal
2026-07-20T11:45:00+00:00,user-10,pc-10,login,10.0.0.29,,,,0.083,normal
2026-07-20T11:50:00+00:00,user-11,pc-11,login,10.0.0.30,,,,0.158,normal
2026-07-20T11:55:00+00:00,user-12,pc-12,data_access,10.0.0.31,10.0.1.13,,erp,0.149,normal
2026-07-20T12:00:00+00:00,user-01,pc-01,process_start,10.0.0.20,,explorer.exe,,0.058,normal
2026-07-20T12:05:00+00:00,user-02,pc-02,data_access,10.0.0.21,10.0.1.12,,erp,0.248,normal
2026-07-20T12:10:00+00:00,user-03,pc-03,data_access,10.0.0.22,10.0.1.11,,erp,0.055,normal
2026-07-20T12:15:00+00:00,user-04,pc-04,login,10.0.0.23,,,,0.061,normal
2026-07-20T12:20:00+00:00,user-05,pc-05,login,10.0.0.24,,,,0.171,normal
2026-07-20T12:25:00+00:00,user-06,pc-06,login,10.0.0.25,,,,0.255,normal
2026-07-20T12:30:00+00:00,user-07,pc-07,login,10.0.0.26,,,,0.172,normal
2026-07-20T12:35:00+00:00,user-08,pc-08,process_start,10.0.0.27,,explorer.exe,,0.246,normal
2026-07-20T12:40:00+00:00,user-09,pc-09,process_start,10.0.0.28,,explorer.exe,,0.158,normal
2026-07-20T12:45:00+00:00,user-10,pc-10,process_start,10.0.0.29,,chrome.exe,,0.139,normal
2026-07-20T12:50:00+00:00,user-11,pc-11,login,10.0.0.30,,,,0.113,normal
2026-07-20T12:55:00+00:00,user-12,pc-12,data_access,10.0.0.31,10.0.1.13,,erp,0.074,normal
2026-07-20T13:00:00+00:00,user-01,pc-01,failed_login,10.0.0.20,,,,0.218,normal
2026-07-20T13:05:00+00:00,user-02,pc-02,login,10.0.0.21,,,,0.229,normal
2026-07-20T13:10:00+00:00,user-03,pc-03,data_access,10.0.0.22,10.0.1.13,,erp,0.165,normal
2026-07-20T13:15:00+00:00,user-04,pc-04,failed_login,10.0.0.23,,,,0.378,normal
2026-07-20T13:20:00+00:00,user-05,pc-05,login,10.0.0.24,,,,0.209,normal
2026-07-20T13:25:00+00:00,user-06,pc-06,login,10.0.0.25,,,,0.221,normal
2026-07-20T13:30:00+00:00,user-07,pc-07,login,10.0.0.26,,,,0.119,normal
2026-07-20T13:35:00+00:00,user-08,pc-08,login,10.0.0.27,,,,0.181,normal
2026-07-20T13:40:00+00:00,user-09,pc-09,process_start,10.0.0.28,,outlook.exe,,0.275,normal
2026-07-20T13:45:00+00:00,user-10,pc-10,process_start,10.0.0.29,,explorer.exe,,0.207,normal
2026-07-20T13:50:00+00:00,user-11,pc-11,data_access,10.0.0.30,10.0.1.11,,erp,0.109,normal
2026-07-20T13:55:00+00:00,user-12,pc-12,data_access,10.0.0.31,10.0.1.13,,share-operations,0.056,normal
2026-07-20T14:00:00+00:00,user-01,pc-01,data_access,10.0.0.20,10.0.1.13,,erp,0.219,normal
2026-07-20T14:05:00+00:00,user-02,pc-02,login,10.0.0.21,,,,0.115,normal
2026-07-20T14:10:00+00:00,user-03,pc-03,process_start,10.0.0.22,,chrome.exe,,0.216,normal
2026-07-20T14:15:00+00:00,user-04,pc-04,login,10.0.0.23,,,,0.265,normal
2026-07-20T14:20:00+00:00,user-05,pc-05,login,10.0.0.24,,,,0.113,normal
2026-07-20T14:25:00+00:00,user-06,pc-06,failed_login,10.0.0.25,,,,0.319,normal
2026-07-20T14:30:00+00:00,user-07,pc-07,login,10.0.0.26,,,,0.066,normal
2026-07-20T14:35:00+00:00,user-08,pc-08,data_access,10.0.0.27,10.0.1.13,,share-operations,0.052,normal
2026-07-20T14:40:00+00:00,user-09,pc-09,process_start,10.0.0.28,,chrome.exe,,0.262,normal
2026-07-20T14:45:00+00:00,user-10,pc-10,process_start,10.0.0.29,,outlook.exe,,0.101,normal
2026-07-20T14:50:00+00:00,user-11,pc-11,login,10.0.0.30,,,,0.152,normal
2026-07-20T14:55:00+00:00,user-12,pc-12,process_start,10.0.0.31,,outlook.exe,,0.147,normal
2026-07-20T15:00:00+00:00,user-01,pc-01,data_access,10.0.0.20,10.0.1.12,,erp,0.053,normal
2026-07-20T15:05:00+00:00,user-02,pc-02,process_start,10.0.0.21,,chrome.exe,,0.047,normal
2026-07-20T15:10:00+00:00,user-03,pc-03,data_access,10.0.0.22,10.0.1.13,,erp,0.236,normal
2026-07-20T15:15:00+00:00,user-04,pc-04,login,10.0.0.23,,,,0.065,normal
2026-07-20T15:20:00+00:00,user-05,pc-05,login,10.0.0.24,,,,0.081,normal
2026-07-20T15:25:00+00:00,user-06,pc-06,login,10.0.0.25,,,,0.142,normal
2026-07-20T15:30:00+00:00,user-07,pc-07,login,10.0.0.26,,,,0.177,normal
2026-07-20T15:35:00+00:00,user-08,pc-08,login,10.0.0.27,,,,0.173,normal
2026-07-20T15:40:00+00:00,user-09,pc-09,data_access,10.0.0.28,10.0.1.13,,erp,0.181,normal
2026-07-20T15:45:00+00:00,user-10,pc-10,process_start,10.0.0.29,,explorer.exe,,0.26,normal
2026-07-20T15:50:00+00:00,user-11,pc-11,process_start,10.0.0.30,,chrome.exe,,0.204,normal
2026-07-20T15:55:00+00:00,user-12,pc-12,login,10.0.0.31,,,,0.05,normal
2026-07-20T16:00:00+00:00,user-01,pc-01,process_start,10.0.0.20,,chrome.exe,,0.19,normal
2026-07-20T16:05:00+00:00,user-02,pc-02,login,10.0.0.21,,,,0.054,normal
2026-07-20T16:10:00+00:00,user-03,pc-03,login,10.0.0.22,,,,0.263,normal
2026-07-20T16:15:00+00:00,user-04,pc-04,login,10.0.0.23,,,,0.19,normal
2026-07-20T16:20:00+00:00,user-05,pc-05,process_start,10.0.0.24,,explorer.exe,,0.133,normal
2026-07-20T16:25:00+00:00,user-06,pc-06,login,10.0.0.25,,,,0.218,normal
2026-07-20T16:30:00+00:00,user-07,pc-07,process_start,10.0.0.26,,explorer.exe,,0.069,normal
2026-07-20T16:35:00+00:00,user-08,pc-08,login,10.0.0.27,,,,0.061,normal
2026-07-20T16:40:00+00:00,user-09,pc-09,login,10.0.0.28,,,,0.266,normal
2026-07-20T16:45:00+00:00,user-10,pc-10,process_start,10.0.0.29,,explorer.exe,,0.082,normal
2026-07-20T16:50:00+00:00,user-11,pc-11,process_start,10.0.0.30,,outlook.exe,,0.145,normal
2026-07-20T16:55:00+00:00,user-12,pc-12,data_access,10.0.0.31,10.0.1.13,,erp,0.161,normal
2026-07-20T17:00:00+00:00,user-01,pc-01,login,10.0.0.20,,,,0.259,normal
2026-07-20T17:05:00+00:00,user-02,pc-02,login,10.0.0.21,,,,0.243,normal
2026-07-20T17:10:00+00:00,user-03,pc-03,login,10.0.0.22,,,,0.211,normal
2026-07-20T17:15:00+00:00,user-04,pc-04,login,10.0.0.23,,,,0.196,normal
2026-07-20T17:20:00+00:00,user-05,pc-05,login,10.0.0.24,,,,0.157,normal
2026-07-20T17:25:00+00:00,user-06,pc-06,failed_login,10.0.0.25,,,,0.276,normal
2026-07-20T17:30:00+00:00,user-07,pc-07,login,10.0.0.26,,,,0.19,normal
2026-07-20T17:35:00+00:00,user-08,pc-08,login,10.0.0.27,,,,0.094,normal
2026-07-20T17:40:00+00:00,user-09,pc-09,process_start,10.0.0.28,,explorer.exe,,0.102,normal
2026-07-20T17:45:00+00:00,user-10,pc-10,data_access,10.0.0.29,10.0.1.12,,erp,0.185,normal
2026-07-20T17:50:00+00:00,user-11,pc-11,data_access,10.0.0.30,10.0.1.10,,share-operations,0.213,normal
2026-07-20T17:55:00+00:00,user-12,pc-12,login,10.0.0.31,,,,0.098,normal
2026-07-20T18:00:00+00:00,user-01,pc-01,process_start,10.0.0.20,,chrome.exe,,0.181,normal
2026-07-20T18:05:00+00:00,user-02,pc-02,login,10.0.0.21,,,,0.096,normal
2026-07-20T18:10:00+00:00,user-03,pc-03,failed_login,10.0.0.22,,,,0.28,normal
2026-07-20T18:15:00+00:00,user-04,pc-04,data_access,10.0.0.23,10.0.1.12,,share-finance,0.078,normal
2026-07-20T18:20:00+00:00,user-05,pc-05,login,10.0.0.24,,,,0.243,normal
2026-07-20T18:25:00+00:00,user-06,pc-06,login,10.0.0.25,,,,0.074,normal
2026-07-20T18:30:00+00:00,user-07,pc-07,login,10.0.0.26,,,,0.08,normal
2026-07-20T18:35:00+00:00,user-08,pc-08,login,10.0.0.27,,,,0.181,normal
2026-07-20T18:40:00+00:00,user-09,pc-09,data_access,10.0.0.28,10.0.1.10,,share-operations,0.111,normal
2026-07-20T18:45:00+00:00,user-10,pc-10,process_start,10.0.0.29,,explorer.exe,,0.26,normal
2026-07-20T18:50:00+00:00,user-11,pc-11,process_start,10.0.0.30,,explorer.exe,,0.115,normal
2026-07-20T18:55:00+00:00,user-12,pc-12,login,10.0.0.31,,,,0.235,normal
2026-07-20T19:00:00+00:00,user-01,pc-01,login,10.0.0.20,,,,0.119,normal
2026-07-20T19:05:00+00:00,user-02,pc-02,failed_login,10.0.0.21,,,,0.39,normal
2026-07-20T19:10:00+00:00,user-03,pc-03,process_start,10.0.0.22,,explorer.exe,,0.265,normal
2026-07-20T19:15:00+00:00,user-04,pc-04,data_access,10.0.0.23,10.0.1.12,,erp,0.165,normal
2026-07-20T19:20:00+00:00,user-05,pc-05,process_start,10.0.0.24,,outlook.exe,,0.202,normal
2026-07-20T19:25:00+00:00,user-06,pc-06,process_start,10.0.0.25,,chrome.exe,,0.087,normal
2026-07-20T19:30:00+00:00,user-07,pc-07,login,10.0.0.26,,,,0.184,normal
2026-07-20T19:35:00+00:00,user-08,pc-08,login,10.0.0.27,,,,0.064,normal
2026-07-20T19:40:00+00:00,user-09,pc-09,data_access,10.0.0.28,10.0.1.10,,share-finance,0.243,normal
2026-07-20T19:45:00+00:00,user-10,pc-10,login,10.0.0.29,,,,0.259,normal
2026-07-20T19:50:00+00:00,user-11,pc-11,login,10.0.0.30,,,,0.229,normal
2026-07-20T19:55:00+00:00,user-12,pc-12,login,10.0.0.31,,,,0.235,normal
2026-07-20T20:00:00+00:00,user-01,pc-01,login,10.0.0.20,,,,0.218,normal
2026-07-20T20:05:00+00:00,user-02,pc-02,data_access,10.0.0.21,10.0.1.13,,erp,0.164,normal
2026-07-20T20:10:00+00:00,user-03,pc-03,data_access,10.0.0.22,10.0.1.11,,share-finance,0.191,normal
2026-07-20T20:15:00+00:00,user-04,pc-04,login,10.0.0.23,,,,0.118,normal
2026-07-20T20:20:00+00:00,user-05,pc-05,login,10.0.0.24,,,,0.079,normal
2026-07-20T20:25:00+00:00,user-06,pc-06,login,10.0.0.25,,,,0.051,normal
2026-07-20T20:30:00+00:00,user-07,pc-07,data_access,10.0.0.26,10.0.1.12,,share-finance,0.194,normal
2026-07-20T20:35:00+00:00,user-08,pc-08,data_access,10.0.0.27,10.0.1.10,,share-operations,0.123,normal
2026-07-20T20:40:00+00:00,user-09,pc-09,login,10.0.0.28,,,,0.092,normal
2026-07-20T20:45:00+00:00,user-10,pc-10,data_access,10.0.0.29,10.0.1.11,,share-finance,0.271,normal
2026-07-20T20:50:00+00:00,user-11,pc-11,process_start,10.0.0.30,,explorer.exe,,0.235,normal
2026-07-20T20:55:00+00:00,user-12,pc-12,login,10.0.0.31,,,,0.201,normal
2026-07-20T21:00:00+00:00,user-01,pc-01,login,10.0.0.20,,,,0.141,normal
2026-07-20T21:05:00+00:00,user-02,pc-02,login,10.0.0.21,,,,0.222,normal
2026-07-20T21:10:00+00:00,user-03,pc-03,failed_login,10.0.0.22,,,,0.201,normal
2026-07-20T21:15:00+00:00,user-04,pc-04,process_start,10.0.0.23,,explorer.exe,,0.259,normal
2026-07-20T21:20:00+00:00,user-05,pc-05,login,10.0.0.24,,,,0.137,normal
2026-07-20T21:25:00+00:00,user-06,pc-06,data_access,10.0.0.25,10.0.1.13,,share-finance,0.224,normal
2026-07-20T21:30:00+00:00,user-07,pc-07,login,10.0.0.26,,,,0.061,normal
2026-07-20T21:35:00+00:00,user-08,pc-08,process_start,10.0.0.27,,explorer.exe,,0.28,normal
2026-07-20T21:40:00+00:00,user-09,pc-09,process_start,10.0.0.28,,outlook.exe,,0.248,normal
2026-07-20T21:45:00+00:00,user-10,pc-10,login,10.0.0.29,,,,0.251,normal
2026-07-20T21:50:00+00:00,user-11,pc-11,failed_login,10.0.0.30,,,,0.254,normal
2026-07-20T21:55:00+00:00,user-12,pc-12,failed_login,10.0.0.31,,,,0.239,normal
2026-07-20T22:00:00+00:00,user-01,pc-01,data_access,10.0.0.20,10.0.1.13,,share-finance,0.111,normal
2026-07-20T22:05:00+00:00,user-02,pc-02,login,10.0.0.21,,,,0.175,normal
2026-07-20T22:10:00+00:00,user-03,pc-03,login,10.0.0.22,,,,0.168,normal
2026-07-20T22:15:00+00:00,user-04,pc-04,login,10.0.0.23,,,,0.153,normal
2026-07-20T22:20:00+00:00,user-05,pc-05,failed_login,10.0.0.24,,,,0.27,normal
2026-07-20T22:25:00+00:00,user-06,pc-06,data_access,10.0.0.25,10.0.1.13,,share-operations,0.275,normal
2026-07-20T22:30:00+00:00,user-07,pc-07,data_access,10.0.0.26,10.0.1.12,,share-finance,0.066,normal
2026-07-20T22:35:00+00:00,user-08,pc-08,login,10.0.0.27,,,,0.052,normal
2026-07-20T22:40:00+00:00,user-09,pc-09,login,10.0.0.28,,,,0.237,normal
2026-07-20T22:45:00+00:00,user-10,pc-10,login,10.0.0.29,,,,0.187,normal
2026-07-20T22:50:00+00:00,user-11,pc-11,login,10.0.0.30,,,,0.173,normal
2026-07-20T22:55:00+00:00,user-12,pc-12,login,10.0.0.31,,,,0.254,normal
2026-07-20T23:00:00+00:00,user-03,pc-11,login,10.0.0.87,,,,0.81,confirmed_attack
2026-07-20T23:02:00+00:00,user-03,pc-11,privilege_change,10.0.0.87,10.0.1.12,powershell.exe,admin-console,0.96,confirmed_attack
2026-07-20T23:04:00+00:00,user-03,server-03,remote_access,10.0.0.87,10.0.1.50,psexec.exe,sensitive-share,0.98,confirmed_attack
